name,office,party,image url,website,facebook,mailing address
Bernie Sanders,President,DEM,http://cdn.billmoyers.com/wp-content/uploads/2012/09/guest_sanders-768x432.jpg,https://go.berniesanders.com/page/content/splash,https://www.facebook.com/berniesanders/,"P.O. Box 905 Burlington, VT 05402"
John R. Kasich,President,REP,https://upload.wikimedia.org/wikipedia/commons/a/ab/Governor_John_Kasich.jpg,https://johnkasich.com/,https://www.facebook.com/JohnKasich/?fref=ts,"PO Box 1344 Columbus, OH 43216"
Jeb Bush,President,REP,http://static.thefrisky.com/uploads/2015/09/jeb-bush-01-800.jpg,https://jeb2016.com/,https://www.facebook.com/jebbush/?fref=ts,"9250 W. Flagler St., Suite 502 Miami, FL 33174"
"Roque ""Rocky"" De La Fuente",President,DEM,http://i.blogads.com/841000236013/img.jpg?guid=11ce9144510241290d4c0a5a6a22b5b8,https://www.rocky2016.com/,https://www.facebook.com/voterocky2016/,"5440 Morehouse Drive, Ste. 45 San Diego, CA 92121"
Lindsey Graham,President,REP,http://49yzp92imhtx8radn224z7y1.wpengine.netdna-cdn.com/wp-content/uploads/2012/09/lindsey-graham1.jpg,http://www.lindseygraham.com/,https://www.facebook.com/USSenatorLindseyGraham/,"PO Box 2732 Columbia, SC 29202"
Star Locke,President,DEM,,,,"P.O. Box 338 Port Aransas, TX 78373"
Marco Rubio,President,REP,http://media.graytvinc.com/images/Rubio10.jpg,https://marcorubio.com,https://www.facebook.com/MarcoRubio,"PO Box 558701 Miami, FL 33255"
Martin J. O'Malley,President,DEM,http://images.politico.com/global/arena/omalley_martin.jpg,https://martinomalley.com/,https://www.facebook.com/MartinOMalley,"1501 St. Paul Street, Ste. 115 Baltimore, MD 21202"
Calvis L. Hawes,President,DEM,,,,"292 CR 3495 Hawkins, TX 75765"
Rand Paul,President,REP,http://thebullelephant.com/wp-content/uploads/2015/04/Rand-Paul.jpg,https://www.randpaul.com/,https://www.facebook.com/RandPaul,"513 C St. NE Washington, DC 20002"
Chris Christie,President,REP,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTnalVwTNFY_sCD_J8WirGoSObxO9bhZwpx4K_HCQZXLXJ7hfiD,https://www.chrischristie.com/,https://www.facebook.com/GovChrisChristie/,"PO Box 9119 Morristown , NJ 07963"
Willie L. Wilson,President,DEM,https://pbs.twimg.com/profile_images/610915571421483008/BaC89Tg-.png,http://www.williewilson2016.com/,https://www.facebook.com/DrWillieWilson/,"345 E. Wacker Dr., Ste. 4601 Chicago, IL 60601"
Keith Judd,President,DEM,,,,"P.O. Box 1884 Midland, TX 79702"
Ted Cruz,President,REP,"https://upload.wikimedia.org/wikipedia/commons/8/87/Ted_Cruz,_official_portrait,_113th_Congress.jpg",https://www.tedcruz.org/,https://www.facebook.com/tedcruzpage,"PO Box 25376 Houston , TX 77265"
Donald J. Trump,President,REP,http://cdn.tegna-tv.com/-mm-/fcc4d6e141255bef22471c81cc1d1cbd78cf23b7/c=2-0-1997-1500&r=x404&c=534x401/local/-/media/2015/12/10/WLTX/WLTX/635853268613422514-donald-trump-ap.jpg,https://www.donaldjtrump.com/,https://www.facebook.com/DonaldTrump/,"725 Fifth Avenue, 5th Floor New York, New York 10022"
Hillary Clinton,President,DEM,https://upload.wikimedia.org/wikipedia/commons/2/27/Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg,https://www.hillaryclinton.com/,https://www.facebook.com/hillaryclinton/,"P.O. Box 5256 New York, NY 10185"
